date,value1
42727,1964.54
42730,1974.01
42731,1968.62
42732,1957.15
42733,1959.24
42734,1962.06
42738,1963.26
42739,1991.57
42740,1983.97
42741,1965.03
42744,1961.62
42745,1951.68
42746,1937.55
42747,1930.14
42748,1899.94
42751,1830.85
42752,1867.87
42753,1845.79
42754,1844.14
42755,1880.75
42758,1887.32
42759,1861.22
42760,1870.7
42761,1886.23
42769,1876.76
42772,1900.45
42773,1889.13
42774,1903.63
42775,1914.08
42776,1904.68
42779,1913.68
42780,1909.4
42781,1892.36
42782,1897.63
42783,1882.87
42786,1894.96
42787,1921.08
42788,1919.97
42789,1925.95
42790,1938.44
42793,1926.77
42794,1927.16
42795,1931.97
42796,1920.4
42797,1928.29
42800,1962.77
42801,1977.85
42802,1964.63
42803,1953.94
42804,1950.01
42807,1970.88
42808,1958.02
42809,1957.82
42810,1966.73
42811,1949.66
42814,1953.82
42815,1961.06
42816,1948.58
42817,1948.37
42818,1965.14
42821,1947.53
42822,1944.36
42823,1929.2
42824,1893.7
42825,1907.34
42830,1943.16
42831,1944.23
42832,1946.05
42835,1912.45
42836,1917.63
42837,1897.51
42838,1910.48
42839,1887.46
42842,1868.28
42843,1848.2
42844,1845.38
42845,1850.39
42846,1839.01
42849,1809.91
42850,1818.87
42851,1820.48
42852,1842.92
42853,1850.73
42857,1850.85
42858,1840.45
42859,1838.1
42860,1818.19
42863,1788.71
42864,1802.49
42865,1771.32
42866,1772.41
42867,1774.63
42870,1778.64
42871,1814.94
42872,1822.64
42873,1813.51
42874,1801.08
42877,1788.08
42878,1758.23
42879,1776.28
42880,1777.69
42881,1759.63
42886,1763.73
42887,1728.49
42888,1745.93
42891,1761.25
42892,1766.39
42893,1799.85
42894,1794.75
42895,1796.13
42898,1775.55
42899,1795.63
42900,1790.64
42901,1816.26
42902,1810.05
42905,1816.4
42906,1820.98
42907,1824.69
42908,1798.38
42909,1807.43
42912,1821.28
42913,1819.93
42914,1808.2
42915,1813.55
42916,1818.07
42919,1835.99
42920,1829.51
42921,1836.63
42922,1839
42923,1835.44
42926,1803.25
42927,1783.91
42928,1786.75
42929,1778.86
42930,1745.57
42933,1656.43
42934,1667.49
42935,1684.77
42936,1688.61
42937,1690.15
42940,1686.44
42941,1688.09
42942,1681.31
42943,1742.19
42944,1734.07
42947,1736.3
42948,1741.07
42949,1724.83
42950,1733.12
42951,1719.62
42954,1732.43
42955,1762.42
42956,1763.05
42957,1753.67
42958,1742.14
42961,1793.48
42962,1798.57
42963,1825.19
42964,1833.4
42965,1821.8
42968,1829.22
42969,1814.92
42970,1807.37
42971,1795.74
42972,1812.88
42975,1842.83
42976,1831.59
42977,1838.63
42978,1849.38
42979,1865.25
42982,1883.62
42983,1885.16
42984,1902.86
42985,1890.38
42986,1885.27
42989,1896.38
42990,1884.48
42991,1888.43
42992,1879.25
42993,1875.63
42996,1894.8
42997,1880.3
42998,1892.67
42999,1872.77
43000,1866.42
43003,1843.62
43004,1839.46
43005,1854.94
43006,1854.73
43007,1866.98
43017,1889.84
43018,1917.46
43019,1901.55
43020,1899.99
43021,1926.07
43024,1882.69
43025,1876.99
43026,1868.16
43027,1862.61
43028,1880.21
43031,1898.76
43032,1901.69
43033,1913.26
43034,1910.72
43035,1896.22
43038,1855.99
43039,1869.79
43040,1872.75
43041,1847.57
43042,1832.97
43045,1850.3
43046,1859.07
43047,1866.14
43048,1884.11
43049,1900.63
43052,1906.44
43053,1896.72
43054,1868.08
43055,1878.26
43056,1833.9
43059,1859.75
43060,1856.96
43061,1853.38
43062,1794.78
43063,1782.66
